country,countryiso3code,year,FDI,GCF,GDP,GDP growth %,GNI,GNI growth,Government expenditure on education,Inflation Rate,Life expectancy,Literacy Rate,Population growth,Poverty Rate,Unemployment Rate
Belize,BLZ,2020,76202813.5002132,379500000.0,2042850000.0,-13.9029100645218,1984213900.0,-14.0879873655933,18.9935398101807,0.121434644614894,71.58,,1.28323598131052,,10.784
Belize,BLZ,2021,125495493.195585,529000000.0,2420550000.0,17.7461701205679,2342620000.0,19.9620417393951,17.9535694122314,3.23563659237071,70.917,,1.1534704907648,,10.322
Belize,BLZ,2022,140907967.620593,640000000.0,2846700000.0,9.65297772389758,2712767600.0,8.106273211431,17.8313503265381,6.27689319447544,72.19,,1.85124805102003,,8.763
Belize,BLZ,2023,16037530.5268891,560459750.0,3066850000.0,1.14901682065862,2955666850.0,1.46664118458129,18.5317096710205,4.38984017487675,73.566,,2.05772774277288,,8.267
Benin,BEN,2018,194073683.196865,3763352168.32007,14262408089.9261,6.69725362180888,14207330378.0074,6.2066656345942,17.7091808319092,0.919170717886054,59.71,,2.8136418840483,38.5,1.41
Benin,BEN,2019,218207871.715643,3688560502.10478,14391686313.4641,6.86568662848335,14320887678.382,8.05481102550026,18.2101707458496,0.732849371241066,59.888,,2.73538842831436,,1.214
Benin,BEN,2020,174019952.063051,4021114868.51305,15686741893.5187,3.84879240030133,15565378788.0486,3.02334497190522,16.4128227233887,3.02272119663759,60.154,,2.66259875153288,,1.502
Benin,BEN,2021,345985235.68003,5102988755.47004,17687623534.6665,7.1554516457574,17498318154.8737,6.9889390461676,15.2831525802612,1.73353962694036,59.61,43.834171295166,2.59230167510348,,1.779
Benin,BEN,2022,375988902.223793,5427729935.84201,17425405083.8797,6.25294705373625,17300026288.2602,5.64035132840746,16.0946025848389,1.35077863583527,60.475,47.0999984741211,2.54740926342667,,1.685
Benin,BEN,2023,442960064.385834,6793317652.60649,19673290995.8491,6.3527773854442,19469373885.9293,5.57479109354003,19.0426368713379,2.73870078406075,60.774,,2.52274772277722,,1.657
Bermuda,BMU,2018,95416371.5,968986000.0,7225977000.0,-0.432801300339307,7460410000.0,-2.87065137095945,,,80.986,,0.397146720463835,,
Bermuda,BMU,2019,4389826.5,1094851000.0,7423465000.0,0.307106461240664,7524540000.0,0.862659895034184,,,81.251,,0.431459657274573,,
Bermuda,BMU,2020,476518083.75,842869000.0,6887364000.0,-6.82757303480177,7090446000.0,-9.0904424049494,,,81.456,,0.428052860400885,,
Bermuda,BMU,2021,49675691.875,940628000.0,7290037000.0,4.60742917109469,7601356000.0,6.37224050028881,,,81.745,,0.412307799470137,,
Bermuda,BMU,2022,5893778.6383343,987177000.0,7874381000.0,6.47622571186707,8297939000.0,6.61402855394581,,,82.062,,0.156108751379667,,
Bermuda,BMU,2023,150807854.271384,960810000.0,8579242000.0,4.91721557264164,8758318000.0,1.89436384045611,,,82.309,,-0.0787967316952785,,
Bhutan,BTN,2018,2649454.31118453,1395402154.54523,2583335721.85904,3.50187185732737,2363147137.848,1.88343079249098,17.2065887451172,2.72396386183713,71.711,,0.716471130925301,,3.35
Bhutan,BTN,2019,13011377.2857268,1260749565.2428,2735683570.46155,5.75514851246506,2506135795.33788,4.62988545034055,18.0860347747803,2.72643037388832,72.005,,0.66444642692507,,2.72
